Answer,Question,
1," Analytic Languages have very little or no morphology and rely on word order to express grammar. English, Chinese, and Vietnamese are examples of analytic languages.",
1, Articulatory phonetics is an area of phonetics that deals with how our vocal tract produces the sounds of language.,
1, Assimilation is a phonological process in which one sound becomes more similar to a neighboring sound.,
0," Auxiliary verbs, modals and main verbs all occur in V under VP",
0, Borrowing is a morphological process in which a language makes new words by combining several words from other languages.,
0," Derivational morphemes in English are small in number, regular, very productive and don't change parts of speech, have only grammatical functions, and are all suffixes.",
1, Diphthong is a vowel in which a stop is followed by a fricative in rapid succession,
1," Do not single (or double) space the entire program, use blank lines when appropriate",
1, Each computer has its own machine language which is made of streams of 0's and 1's,
1, Fricative is a consonant sound made by creating a bottleneck of airflow when our tongue approaches but doesn't touch a place of articulation.,
1, Insertion is the phonological process in which a sound may be added to the middle of a word,
1, Lexical ambiguity can be defined as a word/phrase that has more than one meaning.,
1, Linguistics is the scientific study of languages,
1, Main memory is a place where the programs and data are store temporarily during processing,
0, Morphology studies rules of sentence and phrase formation and their hierarchy in relation to each other.,
1, One benefit to the use of symbolic languages is improved programming efficiency compared to a machine language,
1, Phonetics and Phonology deal with sound. Morphology and Syntax deal with structure. Semantics and Pragmatics deal with meaning.,
0, Phonology is a study of speech sounds in isolation,
1," Physical capabilities, input, and innate predisposition for language are required for a child to learn their native language.",
1, place a single space between all operators and operands,
1, Pseudo-code and flowcharts can be used to represent individual algorithms of a program,
0, Pseudo-code uses exact programming language syntax to represent a module in the larger program----pseudocode are english like statements that follow loose syntax and convey design,
0," Psycholinguistics is a study of mechanisms of the brain that underlie how we acquire, produce, and understand language.",
1," Secondary storage, similar to main memory, also stores programs and data",
1, Select meaningful identifiers (names) for all the variables in the program,
1, Software engineering is the use of sound engineering methods and principles to obtain software that is reliable,
0, Suffixes -er in baker and -en in oxen are inflectional morphemes.,
1, Symbolic languages use mnemonics to represent the various machine language instructions,
1, The C programming language is considered a structured programming language,
0, The C programming language is not considered a high lelvel programming language because of its age-----C programming is a high level language,
1, The preprocessor prepares the code for translation into machine language,
1, the process of converting a high-level language to machine language is known as compilations,
1," The three constructs of structured programming are: 1.) sequence, 2.) selection, 3.) looping",
1, The waterfall model of developing software places an emphasis on planning and testing,
0, There is no need to include example output in your submission,
0, Voiced sound is a speech sound created when vocal chords are apart and air is slowing freely through.,
0, Writing code is the first step in the waterfall model of developing software---planning,
1,". According to Pascal, deciding whether or not to believe in God is not an optional decision.",
1,". According to psychological egoism, unselfish behavior is impossible",
1,". According to your text, you can act in your own self-interest without being selfish.",
1,". In your reading from Plato's Phaedo, Socrates argues that our souls must have existed before our birth.",
1,(Na+-K+) ATPase is located in the plasma membrane and has both alpha and betha subunits,
1,(Na+-K+) ATPase is stimulated by K+ and Na+,
0,(Na+-K+) ATPase requires intracellular ATP,
1,(Na+-K+) pumping activity causes a net outword current of positive charge across the plasma membrane and tends to generate a negative intracellular electric potential,
0,"10 year forward averaging of taxes due, is available for all participants of a defined contribution plan",
1,10% of the Japanese see Christianity as a viable religious alternative for themselves.,
1,12 g of carbon would basically have the same number of atoms as 4 g of helium,
1,20% of Mali's children die before their fifth birthday.,
0,"3, 5, 7, 9, 11...is a quadratic pattern",
1,30-40% of new teachers leave the classroom within five years.,
0,300-nm light has a lower frequency than 500-nm light,
1,4% of the worlds trade passes through the Panama Canal.,
1,401k Plans require immediate vesting on employee contributions,
1,70% of Japanese claim no personal religion.,
1,75% of Christians are actively involved in voodoo.,
0,"A ""Rabbi"" trust in a non-qualified plan keeps plan assets from the employer's creditor in the vent of bankruptcy",
1,A 401k allows for pre-tax contributions by the participant,
1,"A balance sheet shows cash, $75,000: marketable securities, $115,000; receivables, $150,000 and $222,500 of inventories. Current liabilities are $225,000. The current ratio is 2.5 to 1",
1,A bankruptcy is a matter of credit history record for ten years.,
1,A banner ad that does not deliver a high level of response may still be effective in building brand awareness,
0,A bell shaped curve is an example of a skewed distribution,
1,A beta polysaccharide would be used as a structural compound.,
1,A big advantage of soleproprietorship and partnership is that business earnings are taxed only once---as income to the business owners.,
1,A blackbody emits a continuous spectrum,
